8.5773;5.63668
8.6212;8.58167
8.5453;9.65265
8.632;8.61151
8.6011;8.3397
8.5633;8.56878
8.5705;8.56218
8.5765;8.58135
8.6014;8.59882
8.6146;8.62044
8.6129;8.59937
8.5126;8.5314
8.5565;8.54007
8.6049;8.62315
8.6606;8.65004
8.65;8.63156
8.6181;8.62941
8.61;8.63245
8.7355;8.70093
8.8064;8.84326
8.881;8.83794
8.6284;8.68599
8.6522;8.61905
8.6302;8.61587
8.5802;8.59903
8.5973;8.58866
8.6045;8.60903
8.6584;8.65938
8.6728;8.67204
8.6527;8.64706
8.637;8.64757
8.6825;8.66697
8.68;8.68375
8.6783;8.70337
8.7257;8.7015
8.6848;8.67612
8.6272;8.64388
8.5775;8.6006
8.5446;8.52647
8.4657;8.41971
8.3324;8.37086
8.3408;8.38003
8.4597;8.40504
8.4628;8.45752
8.4583;8.48227
8.4709;8.47596
8.4742;8.4647
8.4331;8.44013
8.4088;8.4074
8.3877;8.36627
8.3603;8.38167
8.4614;8.45784
8.4996;8.48966
8.4594;8.4837
8.4803;8.4628
8.422;8.41531
8.391;8.39289
8.3628;8.39597
8.4329;8.39613
8.3935;8.39963
8.3825;8.39597
8.4075;8.38319
8.3589;8.37906
8.3823;8.38203
8.3953;8.38941
8.401;8.40311
8.4003;8.4048
8.4115;8.39404
8.3876;8.40498
8.4333;8.43668
8.4688;8.46732
8.5423;8.50089
8.5237;8.57219
8.6921;8.68284
8.7319;8.73083
8.7422;8.71754
8.7116;8.74683
8.8327;8.8102
8.821;8.82397
8.7683;8.79541
8.7892;8.78069
8.8252;8.77336
8.6905;8.74907
8.7412;8.71145
8.7215;8.71342
8.6923;8.75577
8.8423;8.77445
8.7598;8.77461
8.7699;8.77318
8.7429;8.76394
8.7811;8.75757
8.7468;8.75419
8.746;8.75941
8.8181;8.77522
8.7435;8.77787
8.7549;8.76791
8.821;8.79487
8.8728;8.85857
8.9268;8.93919
8.9967;9.04431
9.1037;9.0563
8.983;8.96975
8.9009;8.92754
8.8943;8.91659
8.9363;8.90559
8.9243;8.90775
8.877;8.89609
8.8441;8.87029
8.9027;8.86416
8.8609;8.87528
8.9131;8.90993
8.9765;8.97295
9.0083;9.01976
9.059;9.05196
9.0233;9.02864
8.9509;8.94145
8.9242;8.92769
8.9637;8.98445
9.0298;9.0073
9.0222;9.01004
8.9981;9.02063
9.0358;9.03158
9.0602;9.04525
9.0313;9.0628
9.1243;9.09044
9.0969;9.12982
9.1535;9.1375
9.1355;9.11302
9.0942;9.1169
